1 -142.087 160.024
2 -142.246 159.933
3 -142.377 159.807
4 -142.479 159.656
5 -142.55 159.495
6 -142.585 159.334
7 -142.575 159.176
8 -142.516 159.023
9 -142.407 158.872
10 -142.257 158.722
11 -142.079 158.574
12 -141.894 158.433
13 -141.722 158.307
14 -141.584 158.204
15 -141.495 158.133
16 -141.463 158.096
17 -141.492 158.091
18 -141.581 158.109
19 -141.725 158.136
20 -141.917 158.156
21 -142.15 158.154
22 -142.418 158.123
23 -142.719 158.062
24 -143.058 157.982
25 -143.44 157.896
26 -143.872 157.822
27 -144.358 157.776
28 -144.892 157.764
29 -145.461 157.781
30 -146.043 157.816
31 -146.612 157.853
32 -147.144 157.875
33 -147.626 157.878
34 -148.053 157.862
35 -148.427 157.841
36 -148.755 157.828
37 -149.042 157.836
38 -149.29 157.87
39 -149.495 157.925
40 -149.648 157.99
41 -149.737 158.054
42 -149.753 158.11
43 -149.689 158.159
44 -149.545 158.213
45 -149.327 158.291
46 -149.047 158.415
47 -148.724 158.606
48 -148.384 158.877
49 -148.056 159.235
50 -147.764 159.677
51 -147.531 160.191
52 -147.365 160.762
53 -147.268 161.371
54 -147.233 161.997
55 -147.249 162.626
56 -147.307 163.246
57 -147.401 163.851
58 -147.527 164.436
59 -147.681 164.997
60 -147.859 165.526
61 -148.053 166.015
62 -148.253 166.453
63 -148.449 166.829
64 -148.631 167.137
65 -148.792 167.377
66 -148.934 167.556
67 -149.061 167.688
68 -149.179 167.783
69 -149.298 167.851
70 -149.422 167.894
71 -149.556 167.908
72 -149.702 167.886
73 -149.861 167.821
74 -150.037 167.711
75 -150.235 167.555
76 -150.458 167.357
77 -150.71 167.12
78 -150.991 166.849
79 -151.299 166.549
80 -151.628 166.225
81 -151.973 165.882
82 -152.326 165.529
83 -152.677 165.173
84 -153.014 164.825
85 -153.323 164.493
86 -153.585 164.182
87 -153.782 163.898
88 -153.899 163.643
89 -153.929 163.415
90 -153.87 163.216
91 -153.724 163.046
92 -153.492 162.908
93 -153.17 162.807
94 -152.748 162.746
95 -152.211 162.724
96 -151.545 162.738
97 -150.739 162.772
98 -149.788 162.806
99 -148.696 162.817
